id,listing_id,referencia,tipo,cidade,bairro,endereco,numero,complemento,cep,valor,valor_num,dormitorios,suites,banheiros,vagas,area_privativa,area_total,link,imagem_principal,descricao
978859,25i-apartamento Metropoles 235_1-978859,25i-apartamento Metropoles 235_1,Apartamento,Goiânia,Jardim Novo Mundo,Rua Santa Maria,1,Apartamento bloco Londres,74710220,R$ 245.000,245000,2,0,1,1,52 m²,60 m²,https://www.marcusbeda.com.br/imovel/978859/apartamento-2-quartos-venda-goiania-go-jardim-novo-mundo,https://www.marcusbeda.com.br/imagens/imoveis/202509160922328174.jpg,Apartamento no Jardim Novo Mundo Sala Cozinha 2 Quartos 1 Garagem Otima localização. Contato Marcus 981162705 3 andar
3933859,20i-casa esquina Parma sol 1.0_1-3933859,20i-casa esquina Parma sol 1.0_1,Casa em Condomínio,Senador Canedo,Jardins Parma,Rua Fontana,1,Casa,75251238,R$ 1.000.000,1000000,3,3,4,2,132 m²,250 m²,https://www.marcusbeda.com.br/imovel/3933859/casa-em-condominio-venda-senador-canedo-go-jardins-parma,https://www.marcusbeda.com.br/imagens/imoveis/202509110900497746.jpeg,"Casa em Condomínio para Venda, Jardins Parma no bairro Jardins Parma. Com 3 dormitórios, sendo 3 suítes, possui 4 banheiros, 2 vagas de garagem, 1 sala, localizado em condomínio, construído no ano de 2025. Área Construída com 132,00 m², Área do Terreno com 250,00 m². Valor do Imóvel R$ 1000.000,00, IPTU R$ 500,00, Valor do Condomínio R$ 600,00. Cômodos: Área de Serviço, Copa, Cozinha."
3933872,5i-Casa recanto Oliveira 420 m_1-3933872,5i-Casa recanto Oliveira 420 m_1,Casa,Goiânia,Setor Recanto das Minas Gerais,Rua SR 64,1,,74785335,R$ 420.000,420000,3,1,2,1,135 m²,106 m²,https://www.marcusbeda.com.br/imovel/3933872/casa-3-dormitorios-venda-goiania-go-setor-recanto-das-minas-gerais,https://www.marcusbeda.com.br/imagens/imoveis/202509110936112911.jpg,"Casa para Venda no bairro Setor Recanto das Minas Gerais, localizado na cidade de Goiânia / GO, região leste. Com 3 dormitórios, sendo 1 suíte, possui 2 banheiros, 1 vaga de garagem, 1 sala. Área Construída com 106,00 m², Área do Terreno com 135,00 m². Valor do Imóvel R$ 350.000,00, IPTU R$ 300,00. Cômodos: Área de Serviço, Cozinha. Proximidades: Bares e Restaurantes, Escola, Farmácia, Supermercado."
3933908,22i-casa esquina J capri sol 1_1-3933908,22i-casa esquina J capri sol 1_1,Casa em Condomínio,Senador Canedo,Jardins Capri,Rua Sálvia,1,Casa,75251328,R$ 1.590.000,1590000,3,3,4,2,177 m²,392 m²,https://www.marcusbeda.com.br/imovel/3933908/casa-em-condominio-venda-senador-canedo-go-jardins-capri,https://www.marcusbeda.com.br/imagens/imoveis/202509110947229299.jpg,"CASA TERREA DE ESQUINA Jardins Capri INFORMAÇÕES Garagem Cob. p/ 02 carros Sala de Estar Cozinha Gourmet Área Serv. 3 quartos, sendo 3 suítes Roupeiro Banheiro Social Diferenciais: Revestimento de Piso Acetinado 1,20x1,20 Bancadas dos banhos em Quartizito Biancatto Escada em Preto São Gabriel Escovado Bancadas na cozinha e área gourmet em preto São Gabriel Escovado Esquadrias em aluminio na cor preta com automatização na janelas das Suítes Piscina com aquecimento Porta de Entrada em alumínio Iluminação Interna Personalizada Jardinagem Completa Pré Inst. p/Ar Condicionado Rico em detalhes Área lote: 392,63 m2 Área construída: 177,47 m2"
3933925,27i-casa Nápoles Douglas 1500k_1-3933925,27i-casa Nápoles Douglas 1500k_1,Casa em Condomínio,Senador Canedo,Jardins Nápoles,Rua Açucena,1,,75254176,R$ 1.500.000,1500000,3,3,5,2,197 m²,360 m²,https://www.marcusbeda.com.br/imovel/3933925/casa-em-condominio-venda-senador-canedo-go-jardins-napoles,https://www.marcusbeda.com.br/imagens/imoveis/202509110957281796.jpg,"Casa Sub Térrea Jardins Nápoles 360m² Área total 197m² Contruçao 3 Suítes (Sendo uma master) Sala de Jantar Sala de Estar com lavabo Cozinha Área gourmet com lavabo Escaninho 2 Vagas garagem coberta Piscina Diferenciais Piscina Aquecida armários na cozinha armários na área gourmet armários no closet Aquecimento de água em todos os pontos da casa 2 lavabos escaninho Projeto Luminotécnico *R$ 1.5000,000,00"
4094799,2i-Casa novo mundo 530 mil_1-4094799,2i-Casa novo mundo 530 mil_1,Casa,Goiânia,Jardim Novo Mundo,Rua Illinois,1,Casa,74705240,R$ 550.000,550000,3,1,2,2,116 m²,180 m²,https://www.marcusbeda.com.br/imovel/4094799/casa-3-dormitorios-venda-goiania-go-jardim-novo-mundo,https://www.marcusbeda.com.br/imagens/imoveis/20260103130745733.jpeg,"Casa no Jardim Novo Mundo, com otima localização, aceita financiamento. Casa com 03 Quartos Sendo 1 Suíte; Sala Ampla com Pé Direito Duplo e Teto na Sanca de Gesso Trabalhado com Croicas; Cozinha Independente Ampla com armários; 2 Banheiros com Nichos e Box; Espaço de Garagem para 2 Carros; Corredor Externo de Fora à Fora; Cômodo da bagunça no fundo; Área de Serviço Ampla; Faixada Imponente; Espaço de Quintal na Frente com Churrasqueira e Ducha; Construção Moderna; * * Localizada no Setor (JD. NOVO MUNDO ) Perto de ( Escolas, Comércios, Linga de Ônibus e Banco da Caixa) na Região Leste de Goiânia. VALOR: R$530 mil Lote com 180 metros 116 metros construídos"
4094940,4i-Casa mariliza Lucas 650 mil_1-4094940,4i-Casa mariliza Lucas 650 mil_1,Casa,Goiânia,Jardim Mariliza,Rua Carnaúba,1,Casa,74885100,R$ 640.000,640000,3,2,3,2,150 m²,210 m²,https://www.marcusbeda.com.br/imovel/4094940/casa-3-dormitorios-venda-goiania-go-jardim-mariliza,https://www.marcusbeda.com.br/imagens/imoveis/202601031326244029.jpeg,"Casa no Mariliza, próximo ao muro do Jardins Atenas; Aceita financiamento; com 03 quartos sendo 02 suítes com armários nos banheiros; Banheiro social com armários; Cozinha com armários; Sala de jantar e estar; Garagem para 02 carros; Área gourmet com bancada com armários; Jardim na entrada; Com cerca de 150 metros construídos; Lote com 210 metros; Valor de venda 650 mil"
4095337,3i-Casa parque amendoeira João_1-4095337,3i-Casa parque amendoeira João_1,Casa,Goiânia,Parque das Amendoeiras,Rua Vieira Cunha,1,Casa,74780560,R$ 600.000,600000,3,1,2,2,128 m²,180 m²,https://www.marcusbeda.com.br/imovel/4095337/casa-venda-goiania-go-parque-das-amendoeiras,https://www.marcusbeda.com.br/imagens/imoveis/202601050915581036.jpeg,"Descubra o charme de viver em uma casa que combina elegância e conforto em cada detalhe. Com 180 m² de área total, este imóvel apresenta um acabamento premium que valoriza ambientes amplos e iluminados, destaque para o pé direito duplo que confere sensação de espaço e sofisticação. São três dormitórios, sendo uma suíte privativa, todos projetados para oferecer tranquilidade e privacidade. A cozinha integrada à área gourmet, revestida em porcelanato de alta qualidade e com pintura especial nas paredes, cria o cenário perfeito para encontros familiares e momentos de lazer. A garagem, posicionada na laje, garante praticidade e segurança para duas vagas. Localizado em um bairro residencial bem estabelecido, o imóvel beneficia-se de fácil acesso a comércio local, escolas reconhecidas e linhas de transporte público, proporcionando conveniência no dia a dia. A vizinhança oferece ainda opções de parques e áreas de recreação, ideal para quem busca qualidade de vida sem abrir mão da proximidade com serviços essenciais. Não perca a oportunidade de adquirir um lar que reflete um estilo de vida sofisticado e confortável por R$ 600.000,00. Agende sua visita agora mesmo e sinta a diferença de morar em um espaço pensado para você."
4095696,1i-Sobrado marco Túlio 1.890.0_1-4095696,1i-Sobrado marco Túlio 1.890.0_1,Sobrado,Senador Canedo,Jardins Bolonha,Rua das Castanheiras,1,Sobrado,75251124,R$ 1.790.000,1790000,4,3,4,2,278 m²,300 m²,https://www.marcusbeda.com.br/imovel/4095696/sobrado-venda-senador-canedo-go-jardins-bolonha,https://www.marcusbeda.com.br/imagens/imoveis/202601051418553611.jpeg,"Descubra o requinte de viver em um sobrado de 300 m², onde cada detalhe foi pensado para oferecer conforto e sofisticação. São quatro dormitórios, sendo três suítes amplas, que garantem privacidade e tranquilidade para toda a família. A suíte master conta com um elegante closet e banheiro com acabamento em porcelanato acetinado, criando um ambiente de puro relaxamento. A área externa é um verdadeiro convite ao lazer: uma piscina cristalina rodeada por jardins estilo Bolonha, perfeitos para momentos de descanso ou para receber amigos. Ao lado, a área gourmet totalmente equipada, com bancada em granito, churrasqueira embutida e espaço para jantar ao ar livre, transforma cada encontro em uma celebração. A garagem coberta com duas vagas oferece segurança e praticidade, enquanto o design contemporâneo do sobrado combina linhas clean com materiais de alta qualidade, como pisos porcelanato nos ambientes sociais e revestimentos em pedra natural nos halls de entrada. Situado em um endereço privilegiado, o imóvel está inserido em no Jardins Bolonha em Senador Cabedo, que reúne tranquilidade e conveniência. Nas proximidades, você encontra comércios variados, escolas de referência, supermercados e opções de transporte público, facilitando o dia a dia e valorizando ainda mais a qualidade de vida. Este sobrado é ideal para quem busca um lar que une elegância, lazer e localização estratégica, proporcionando um estilo de vida equilibrado entre privacidade e sociabilidade. Não perca a oportunidade de transformar este espaço em seu novo endereço. Agende já a sua visita e venha viver a experiência de morar com excelência."
4095747,7i-Casa Roberto Veneza 1.400k_1-4095747,7i-Casa Roberto Veneza 1.400k_1,Casa,Senador Canedo,Residencial Condomínio Jardim Veneza,Rua JV 10,1,Casa,75254026,R$ 1.400.000,1400000,3,3,4,4,180 m²,360 m²,https://www.marcusbeda.com.br/imovel/4095747/casa-venda-senador-canedo-go-residencial-condominio-jardim-veneza,https://www.marcusbeda.com.br/imagens/imoveis/202601051454404616.jpeg,"Descubra a elegância de viver em uma casa nova, onde cada detalhe foi pensado para oferecer conforto, sofisticação e praticidade. Com um pé direito duplo na sala integrada e na suíte master, a sensação de amplitude e luz natural transforma os ambientes em verdadeiros cenários de bem estar. A propriedade dispõe de 3 dormitórios, todos em suítes, sendo a suíte master equipada com closet espaçoso e banheiro de alto padrão. Um escritório privativo atende às necessidades de quem trabalha em home office, enquanto a área gourmet, completa com churrasqueira a carvão, convida a momentos de convívio inesquecíveis. A cozinha e os banheiros contam com pias escupidas e acabamentos em mármore, reforçando o requinte do projeto. Para quem valoriza lazer privado, a piscina aquecida (6,20 3,40 m) inclui hidromassagem, cascata e iluminação inteligente, proporcionando relaxamento em qualquer estação. O jardim bem cuidado completa o cenário externo, enquanto a garagem com 4 vagas, porta de entrada com fechadura eletrônica e tomadas de entrada inteligentes garantem segurança e conveniência. Localizada em um endereço privilegiado, a casa integra-se a um condomínio que oferece completa infraestrutura de lazer: academia moderna, pista de cooper, quadra poliesportiva, playground e quadra de tênis, atendendo a toda a família. A região dispõe de comércio variado, escolas de excelência e fácil acesso ao transporte público, facilitando a rotina diária. Não perca a oportunidade de adquirir um imóvel com acabamento de primeira qualidade, ripados na fachada e detalhes que fazem a diferença. Agende agora sua visita e experimente o estilo de vida que você merece. Entre em contato e venha conhecer seu novo lar!"
4096246,12i-casa recantinho luiz 620 m_1-4096246,12i-casa recantinho luiz 620 m_1,Casa,Goiânia,Setor Recanto das Minas Gerais,Rua SR 5,1,Casa,74785720,R$ 620.000,620000,3,1,2,3,140 m²,360 m²,https://www.marcusbeda.com.br/imovel/4096246/casa-3-dormitorios-venda-goiania-go-setor-recanto-das-minas-gerais,https://www.marcusbeda.com.br/imagens/imoveis/202601060754575939.jpeg,"Descubra o conforto de viver em uma casa que combina espaço, praticidade e charme, ideal para quem busca qualidade de vida sem abrir mão da conveniência urbana. Com 3 dormitórios, incluindo uma suíte master, e 2 banheiros bem distribuídos, esta residência oferece a metragem ideal para acomodar sua família com privacidade e conforto. O hall de entrada recebe você com elegância, conduzindo aos ambientes internos onde os acabamentos são de bom padrão e pensados para o uso diário. O destaque da casa é a varanda ampla, equipada com bancada e churrasqueira, perfeita para encontros familiares, churrascos com amigos e momentos de lazer ao ar livre. O quintal generoso amplia ainda mais as possibilidades de uso, seja para criar um jardim, um espaço de recreação ou um cantinho de leitura ao sol. A área de serviço funcional completa a praticidade do lar, permitindo a realização das tarefas domésticas com organização e eficiência. Além disso, a propriedade aceita financiamento, facilitando a concretização do seu sonho de morar em um espaço que une conforto e acessibilidade. Situada em um endereço estratégico, a casa beneficia-se da proximidade de comércios, escolas, opções de transporte e serviços essenciais, proporcionando um cotidiano ágil e bem servido. O bairro oferece ainda tranquilidade, segurança e infraestrutura completa, atendendo às necessidades de quem valoriza um estilo de vida equilibrado entre conforto residencial e conveniência urbana. Não perca a oportunidade de adquirir um imóvel que reúne espaço, localização privilegiada e condições facilitadas. Entre em contato agora mesmo e agende sua visita para conhecer de perto cada detalhe desta casa que pode ser o próximo capítulo da sua história."
4097828,15i-Casa Joilson Nv mundo 600_1-4097828,15i-Casa Joilson Nv mundo 600_1,Casa,Goiânia,Jardim Novo Mundo,Rua Ilinóis,1,Casa,74705240,R$ 580.000,580000,3,1,2,3,132 m²,180 m²,https://www.marcusbeda.com.br/imovel/4097828/casa-3-dormitorios-venda-goiania-go-jardim-novo-mundo,https://www.marcusbeda.com.br/imagens/imoveis/202601071108246513.jpeg,"Descubra o conforto de viver em uma casa onde cada detalhe foi pensado para transformar o dia a dia em momentos memoráveis. Com 3 dormitórios sendo 1 suíte elegante e 2 banheiros bem distribuídos, este imóvel oferece a combinação ideal entre espaço, privacidade e praticidade. O pé direito duplo eleva a sensação de amplitude, trazendo luz natural abundante e um toque de sofisticação que valoriza ainda mais os ambientes internos. A garagem ampla, acompanhada de uma área gourmet integrada, é o cenário perfeito para receber amigos e familiares, preparando encontros gastronômicos com conforto e estilo. Além de proporcionar facilidade no estacionamento, o espaço gourmet permite desfrutar de churrascos e celebrações ao ar livre, sem abrir mão da comodidade de estar dentro de casa. Localizada em um ponto estratégico da cidade, a residência beneficia-se de uma ótima localização que coloca escolas, supermercados, farmácias, restaurantes e opções de transporte público a poucos minutos de distância. A proximidade com comércio variado e serviços essenciais garante praticidade para toda a família, enquanto a vizinhança tranquila oferece segurança e qualidade de vida. A propriedade aceita financiamento, facilitando a realização do seu sonho de adquirir um lar completo e bem localizado sem complicações. Seja para quem busca um espaço para crescer com a família ou para quem deseja um refúgio elegante dentro da cidade, esta casa reúne o melhor dos dois mundos: conforto contemporâneo e conveniência urbana. Não perca a oportunidade de transformar este endereço no palco da sua nova história. Entre em contato agora mesmo e agende sua visita a casa dos seus sonhos está à sua espera."
4097877,16i-Casa Maria Luiza piscina M_1-4097877,16i-Casa Maria Luiza piscina M_1,Casa,Goiânia,Vila Maria Luiza,Rua Uruguai,1,Casa,74720280,R$ 750.000,750000,3,1,3,2,142 m²,235 m²,https://www.marcusbeda.com.br/imovel/4097877/casa-venda-goiania-go-vila-maria-luiza,https://www.marcusbeda.com.br/imagens/imoveis/20260107113303530.jpeg,"Descubra o encanto de viver em uma casa que combina elegância e conforto em cada detalhe. Com 3 dormitórios, sendo 1 suíte, e 3 banheiros bem distribuídos, este imóvel oferece espaço suficiente para toda a família sem abrir mão da privacidade. O acabamento premium eleva o padrão de qualidade, enquanto o pé direito alto cria ambientes amplos e luminosos, reforçando a sensação de bem estar. A área social foi planejada para integrar perfeitamente a sala de estar, a cozinha e o espaço gourmet, permitindo momentos de convivência ainda mais agradáveis. Na cozinha, os armários planejados otimizam o armazenamento e trazem um toque de sofisticação. A piscina, com design contemporâneo, convida a desfrutar de dias de lazer e relaxamento sem precisar sair de casa. Com duas vagas de garagem, você tem a comodidade de estacionar seus veículos com segurança. Além disso, o financiamento é aceito, facilitando a realização do seu sonho da casa própria. Localizada em um bairro valorizado, a região oferece excelente infraestrutura: supermercados, padarias, escolas de qualidade e opções de transporte público próximo, garantindo praticidade no dia a dia. Tudo isso aliado a um estilo de vida que prioriza conforto, bem estar e qualidade de vida. Não perca a oportunidade de adquirir um lar que reflete seu gosto exigente e seu desejo por praticidade. Entre em contato agora mesmo e agende sua visita a casa dos seus sonhos está à sua espera!"
